ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
EPAM,1124,1119,0.9955516014234875,2012-02-08,2026-09-21,2021-12-14,2026-06-01,복원
EQR,3753,0,0.0,,,2011-09-21,2026-08-17,가격 없음
ESRX,1826,0,0.0,,,2011-09-21,2018-12-20,가격 없음
ESV,921,0,0.0,,,2012-07-31,2016-03-29,가격 없음
ETFC,2277,0,0.0,,,2011-09-21,2020-10-06,가격 없음
ETSY,1008,1007,0.9990079365079365,2015-04-16,2026-09-21,2020-09-21,2024-09-20,복원
EVHC,467,0,0.0,,,2016-12-02,2018-10-10,가격 없음
FB,2131,0,0.0,2025-06-26,2026-09-21,2013-12-23,2022-06-08,재사용 의심
FBHS,1633,0,0.0,,,2016-06-24,2022-12-16,가격 없음
FCPT,5,5,1.0,2015-11-10,2026-09-21,2015-11-10,2015-11-16,복원
FDO,952,0,0.0,,,2011-09-21,2015-07-06,가격 없음
FDXF,79,78,0.9873417721518988,2026-05-27,2026-09-21,2026-06-01,2026-09-21,복원
FHN,440,440,1.0,2011-09-21,2026-09-21,2011-09-21,2013-06-21,복원
FI,614,0,0.0,,,2023-06-07,2025-11-10,가격 없음
FII,321,0,0.0,,,2011-09-21,2012-12-31,가격 없음
FISV,3164,3160,0.9987357774968394,2011-09-21,2026-09-21,2011-09-21,2026-09-21,복원
FL,844,0,0.0,,,2016-04-04,2019-08-08,가격 없음
FLIR,2428,0,0.0,,,2011-09-21,2021-05-13,가격 없음
FLR,1936,1935,0.9994834710743802,2011-09-21,2026-09-21,2011-09-21,2019-05-31,복원
FLS,2390,2389,0.999581589958159,2011-09-21,2026-09-21,2011-09-21,2021-03-19,복원
FLT,1450,0,0.0,,,2018-06-20,2024-03-22,가격 없음
FMC,3398,3395,0.9991171277221895,2011-09-21,2026-09-21,2011-09-21,2025-03-21,복원
FOSL,943,943,1.0,2011-09-21,2026-09-21,2012-04-04,2016-01-04,복원
FRC,1092,0,0.0,,,2019-01-02,2023-05-03,가격 없음
FRX,697,0,0.0,,,2011-09-21,2014-06-30,가격 없음
FTI,2365,2364,0.9995771670190274,2011-09-21,2026-09-21,2011-09-21,2021-02-11,복원
